Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	0.002587	0.002164	0.002840	0.004476	0.000912	0.002587	0.001039	0.000773	0.001189	0.010000	0.001262
2	0.002264	0.002164	0.002834	0.004290	0.000912	0.002264	0.001039	0.000773	0.001189	0.010000	0.001262
3	0.002264	0.002164	0.002711	0.004118	0.000912	0.002264	0.000990	0.000773	0.001132	0.010000	0.001202
4	0.002264	0.001924	0.002530	0.003813	0.000868	0.002264	0.000990	0.000736	0.001132	0.010000	0.001202
5	0.002264	0.001924	0.002430	0.003677	0.000868	0.002264	0.000945	0.000736	0.001132	0.010000	0.001148
6	0.002012	0.001924	0.002337	0.003550	0.000868	0.002012	0.000945	0.000736	0.001081	0.010000	0.001148
7	0.002012	0.001924	0.002251	0.003321	0.000868	0.002012	0.000945	0.000736	0.001081	0.010000	0.001098
8	0.002012	0.001732	0.002171	0.003217	0.000829	0.002012	0.000903	0.000736	0.001081	0.010000	0.001098
9	0.002012	0.001732	0.002051	0.003120	0.000829	0.002012	0.000903	0.000736	0.001034	0.010000	0.001052
10	0.002012	0.001732	0.001984	0.002941	0.000829	0.002012	0.000866	0.000703	0.001034	0.010000	0.000971
11	0.001811	0.001732	0.001848	0.002640	0.000829	0.001811	0.000866	0.000703	0.000991	0.010000	0.000935
12	0.001811	0.001732	0.001670	0.002394	0.000793	0.001811	0.000831	0.000703	0.000991	0.010000	0.000935
13	0.001646	0.001574	0.001547	0.002145	0.000793	0.001646	0.000831	0.000703	0.000991	0.010000	0.000902
14	0.001646	0.001574	0.001441	0.001980	0.000793	0.001646	0.000799	0.000703	0.000959	0.010000	0.000902
15	0.001509	0.001443	0.001330	0.001775	0.000793	0.001509	0.000770	0.000672	0.000944	0.010000	0.000842
16	0.001509	0.001443	0.001267	0.001660	0.000760	0.001509	0.000742	0.000672	0.000928	0.010000	0.000842
17	0.001509	0.001443	0.001194	0.001560	0.000760	0.001509	0.000742	0.000672	0.000914	0.010000	0.000814
