Level	weapon skill	defense skill	dodge	parry	block	hit melee	hit ranged	hit spell	crit melee	crit ranged	crit spell	hit taken melee	hit taken ranged	hit taken spell	crit taken melee	crit taken ranged	crit taken spell	haste melee	haste ranged	haste spell	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
1	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	0.096154	0.750000	6.900001	6.900001	2.500000	0.384615	0.384615	0.307692	0.538462	0.538462	0.538462	0.384615	0.384615	0.307692	14.375000	14.375000	14.375000	0.384615	0.384615	0.384615	0.096154	0.096154	0.096154	0.096154	0.180582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11	0.144231	0.750000	6.900001	6.900001	2.500000	0.576923	0.576923	0.461538	0.807692	0.807692	0.807692	0.576923	0.576923	0.461538	14.375000	14.375000	14.375000	0.576923	0.576923	0.576923	0.144231	0.144231	0.144231	0.144231	0.270872	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
