Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	0.000000	60.000000	65.000000	0.000000	110.000000	1000.000000	55.000000	100.000000	90.000000	1000.000000	50.000000
2	0.000000	64.000000	70.000000	0.000000	119.000000	1000.000000	61.000000	110.000000	98.000000	1000.000000	57.000000
3	0.000000	84.000000	91.000000	0.000000	129.000000	1000.000000	68.000000	121.000000	107.000000	1000.000000	65.000000
4	0.000000	90.000000	98.000000	0.000000	140.000000	1000.000000	91.000000	118.000000	117.000000	1000.000000	74.000000
5	0.000000	112.000000	121.000000	0.000000	137.000000	1000.000000	100.000000	131.000000	128.000000	1000.000000	84.000000
6	0.000000	120.000000	130.000000	0.000000	150.000000	1000.000000	110.000000	145.000000	140.000000	1000.000000	95.000000
7	0.000000	129.000000	155.000000	0.000000	164.000000	1000.000000	121.000000	160.000000	153.000000	1000.000000	107.000000
8	0.000000	154.000000	166.000000	0.000000	179.000000	1000.000000	133.000000	161.000000	167.000000	1000.000000	120.000000
9	0.000000	165.000000	193.000000	0.000000	195.000000	1000.000000	161.000000	178.000000	182.000000	1000.000000	134.000000
10	0.000000	192.000000	206.000000	0.000000	212.000000	1000.000000	175.000000	196.000000	198.000000	1000.000000	149.000000
11	0.000000	205.000000	235.000000	0.000000	215.000000	1000.000000	190.000000	215.000000	200.000000	1000.000000	165.000000
12	0.000000	219.000000	250.000000	0.000000	234.000000	1000.000000	206.000000	220.000000	218.000000	1000.000000	182.000000
13	0.000000	249.000000	266.000000	0.000000	254.000000	1000.000000	223.000000	241.000000	237.000000	1000.000000	200.000000
14	0.000000	265.000000	298.000000	0.000000	260.000000	1000.000000	241.000000	263.000000	257.000000	1000.000000	219.000000
15	0.000000	282.000000	316.000000	0.000000	282.000000	1000.000000	260.000000	271.000000	278.000000	1000.000000	239.000000
16	0.000000	315.000000	350.000000	0.000000	305.000000	1000.000000	280.000000	295.000000	300.000000	1000.000000	260.000000
17	0.000000	334.000000	370.000000	0.000000	329.000000	1000.000000	301.000000	305.000000	308.000000	1000.000000	282.000000
18	0.000000	354.000000	391.000000	0.000000	339.000000	1000.000000	323.000000	331.000000	332.000000	1000.000000	305.000000
19	0.000000	390.000000	428.000000	0.000000	365.000000	1000.000000	346.000000	343.000000	357.000000	1000.000000	329.000000
20	0.000000	412.000000	451.000000	0.000000	377.000000	1000.000000	370.000000	371.000000	383.000000	1000.000000	354.000000
21	0.000000	435.000000	475.000000	0.000000	405.000000	1000.000000	395.000000	385.000000	395.000000	1000.000000	380.000000
22	0.000000	459.000000	515.000000	0.000000	434.000000	1000.000000	421.000000	415.000000	423.000000	1000.000000	392.000000
23	0.000000	499.000000	541.000000	0.000000	449.000000	1000.000000	448.000000	431.000000	452.000000	1000.000000	420.000000
24	0.000000	525.000000	568.000000	0.000000	480.000000	1000.000000	476.000000	463.000000	467.000000	1000.000000	449.000000
25	0.000000	552.000000	611.000000	0.000000	497.000000	1000.000000	505.000000	481.000000	498.000000	1000.000000	479.000000
26	0.000000	579.000000	640.000000	0.000000	530.000000	1000.000000	535.000000	515.000000	530.000000	1000.000000	509.000000
27	0.000000	621.000000	670.000000	0.000000	549.000000	1000.000000	566.000000	535.000000	548.000000	1000.000000	524.000000
28	0.000000	648.000000	715.000000	0.000000	584.000000	1000.000000	598.000000	556.000000	582.000000	1000.000000	554.000000
29	0.000000	675.000000	745.000000	0.000000	605.000000	1000.000000	631.000000	592.000000	602.000000	1000.000000	584.000000
30	0.000000	702.000000	775.000000	0.000000	627.000000	1000.000000	665.000000	613.000000	638.000000	1000.000000	614.000000
31	0.000000	729.000000	805.000000	0.000000	665.000000	1000.000000	699.000000	634.000000	674.000000	1000.000000	629.000000
32	0.000000	756.000000	850.000000	0.000000	689.000000	1000.000000	733.000000	670.000000	695.000000	1000.000000	659.000000
33	0.000000	798.000000	880.000000	0.000000	728.000000	1000.000000	767.000000	691.000000	731.000000	1000.000000	689.000000
34	0.000000	825.000000	910.000000	0.000000	752.000000	1000.000000	786.000000	712.000000	752.000000	1000.000000	704.000000
35	0.000000	852.000000	940.000000	0.000000	776.000000	1000.000000	820.000000	733.000000	788.000000	1000.000000	734.000000
36	0.000000	879.000000	970.000000	0.000000	800.000000	1000.000000	854.000000	754.000000	809.000000	1000.000000	749.000000
37	0.000000	906.000000	1015.000000	0.000000	839.000000	1000.000000	888.000000	790.000000	830.000000	1000.000000	779.000000
38	0.000000	933.000000	1045.000000	0.000000	863.000000	1000.000000	922.000000	811.000000	866.000000	1000.000000	809.000000
39	0.000000	960.000000	1075.000000	0.000000	887.000000	1000.000000	941.000000	832.000000	887.000000	1000.000000	824.000000
40	0.000000	987.000000	1105.000000	0.000000	911.000000	1000.000000	975.000000	853.000000	923.000000	1000.000000	854.000000
41	0.000000	1014.000000	1135.000000	0.000000	950.000000	1000.000000	1009.000000	874.000000	944.000000	1000.000000	869.000000
42	0.000000	1041.000000	1180.000000	0.000000	974.000000	1000.000000	1028.000000	895.000000	965.000000	1000.000000	899.000000
43	0.000000	1068.000000	1210.000000	0.000000	998.000000	1000.000000	1062.000000	916.000000	1001.000000	1000.000000	914.000000
44	0.000000	1110.000000	1240.000000	0.000000	1022.000000	1000.000000	1096.000000	937.000000	1022.000000	1000.000000	944.000000
45	0.000000	1137.000000	1270.000000	0.000000	1046.000000	1000.000000	1115.000000	958.000000	1043.000000	1000.000000	959.000000
46	0.000000	1164.000000	1300.000000	0.000000	1070.000000	1000.000000	1149.000000	979.000000	1064.000000	1000.000000	989.000000
47	0.000000	1176.000000	1330.000000	0.000000	1094.000000	1000.000000	1183.000000	1000.000000	1100.000000	1000.000000	1004.000000
48	0.000000	1203.000000	1360.000000	0.000000	1118.000000	1000.000000	1202.000000	1021.000000	1121.000000	1000.000000	1019.000000
49	0.000000	1230.000000	1390.000000	0.000000	1142.000000	1000.000000	1236.000000	1042.000000	1142.000000	1000.000000	1049.000000
50	0.000000	1257.000000	1420.000000	0.000000	1166.000000	1000.000000	1255.000000	1048.000000	1163.000000	1000.000000	1064.000000
51	0.000000	1284.000000	1450.000000	0.000000	1190.000000	1000.000000	1289.000000	1069.000000	1184.000000	1000.000000	1079.000000
52	0.000000	1311.000000	1480.000000	0.000000	1214.000000	1000.000000	1323.000000	1090.000000	1205.000000	1000.000000	1109.000000
53	0.000000	1338.000000	1510.000000	0.000000	1238.000000	1000.000000	1342.000000	1111.000000	1226.000000	1000.000000	1124.000000
54	0.000000	1365.000000	1540.000000	0.000000	1262.000000	1000.000000	1376.000000	1117.000000	1247.000000	1000.000000	1139.000000
55	0.000000	1392.000000	1570.000000	0.000000	1271.000000	1000.000000	1395.000000	1138.000000	1268.000000	1000.000000	1154.000000
56	0.000000	1419.000000	1600.000000	0.000000	1295.000000	1000.000000	1414.000000	1159.000000	1289.000000	1000.000000	1169.000000
57	0.000000	1446.000000	1630.000000	0.000000	1319.000000	1000.000000	1448.000000	1165.000000	1310.000000	1000.000000	1199.000000
58	0.000000	1458.000000	1660.000000	0.000000	1343.000000	1000.000000	1467.000000	1186.000000	1331.000000	1000.000000	1214.000000
59	0.000000	1485.000000	1690.000000	0.000000	1352.000000	1000.000000	1501.000000	1192.000000	1352.000000	1000.000000	1229.000000
60	0.000000	1512.000000	1720.000000	0.000000	1376.000000	1000.000000	1520.000000	1213.000000	1373.000000	1000.000000	1244.000000
61	0.000000	1656.000000	1886.000000	0.000000	1500.000000	1000.000000	1664.000000	1316.000000	1497.000000	1000.000000	1357.000000
62	0.000000	1800.000000	2053.000000	0.000000	1625.000000	1000.000000	1808.000000	1419.000000	1621.000000	1000.000000	1469.000000
63	0.000000	1944.000000	2219.000000	0.000000	1749.000000	1000.000000	1951.000000	1521.000000	1745.000000	1000.000000	1582.000000
64	0.000000	2088.000000	2385.000000	0.000000	1873.000000	1000.000000	2095.000000	1624.000000	1870.000000	1000.000000	1694.000000
65	0.000000	2232.000000	2552.000000	0.000000	1998.000000	1000.000000	2239.000000	1727.000000	1994.000000	1000.000000	1807.000000
66	0.000000	2377.000000	2718.000000	0.000000	2122.000000	1000.000000	2383.000000	1830.000000	2118.000000	1000.000000	1919.000000
67	0.000000	2521.000000	2884.000000	0.000000	2247.000000	1000.000000	2527.000000	1932.000000	2242.000000	1000.000000	2032.000000
68	0.000000	2665.000000	3050.000000	0.000000	2371.000000	1000.000000	2670.000000	2035.000000	2366.000000	1000.000000	2145.000000
69	0.000000	2809.000000	3217.000000	0.000000	2495.000000	1000.000000	2814.000000	2138.000000	2490.000000	1000.000000	2257.000000
70	0.000000	2953.000000	3383.000000	0.000000	2620.000000	1000.000000	2958.000000	2241.000000	2615.000000	1000.000000	2370.000000
71	0.000000	3097.000000	3549.000000	0.000000	2744.000000	1000.000000	3102.000000	2343.000000	2739.000000	1000.000000	2482.000000
72	0.000000	3241.000000	3716.000000	0.000000	2868.000000	1000.000000	3246.000000	2446.000000	2863.000000	1000.000000	2595.000000
73	0.000000	3385.000000	3882.000000	0.000000	2993.000000	1000.000000	3389.000000	2549.000000	2987.000000	1000.000000	2708.000000
74	0.000000	3529.000000	4048.000000	0.000000	3117.000000	1000.000000	3533.000000	2652.000000	3111.000000	1000.000000	2820.000000
75	0.000000	3673.000000	4215.000000	0.000000	3242.000000	1000.000000	3677.000000	2754.000000	3235.000000	1000.000000	2933.000000
76	0.000000	3817.000000	4381.000000	0.000000	3366.000000	1000.000000	3821.000000	2857.000000	3360.000000	1000.000000	3045.000000
77	0.000000	3962.000000	4547.000000	0.000000	3490.000000	1000.000000	3965.000000	2960.000000	3484.000000	1000.000000	3158.000000
78	0.000000	4106.000000	4713.000000	0.000000	3615.000000	1000.000000	4108.000000	3063.000000	3608.000000	1000.000000	3270.000000
79	0.000000	4250.000000	4880.000000	0.000000	3739.000000	1000.000000	4252.000000	3165.000000	3732.000000	1000.000000	3383.000000
80	0.000000	4394.000000	5046.000000	0.000000	3863.000000	1000.000000	4396.000000	3268.000000	3856.000000	1000.000000	3496.000000
81	0.000000	4538.000000	5212.000000	0.000000	3988.000000	1000.000000	4540.000000	3371.000000	3980.000000	1000.000000	3608.000000
82	0.000000	4682.000000	5379.000000	0.000000	4112.000000	1000.000000	4684.000000	3474.000000	4105.000000	1000.000000	3721.000000
83	0.000000	4826.000000	5545.000000	0.000000	4237.000000	1000.000000	4827.000000	3576.000000	4229.000000	1000.000000	3833.000000
84	0.000000	4970.000000	5711.000000	0.000000	4361.000000	1000.000000	4971.000000	3679.000000	4353.000000	1000.000000	3946.000000
